program_name,program_id,address,balance_lamports,balance_sol,data_size
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,Dr8qwhCTYj33VjkCdatS7gj2KndEcit6LEPw1MCYk4z4,54127920,0.05412792,7649
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,FJVa2CL5LxSWT8esDsU3h5TSoSgaxnsb48nACruxvP1b,1271898240,1.27189824,182616
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,GdkBcz37G1GxNryi1Bydx5qJJ63RjQDFStqgCLMxu8X2,98748480,0.09874848,14060
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,HgSCuZT7wrcSYTxEw8e6YJsh1AhC1FW2boBrCnEYm2ms,50571360,0.05057136,7138
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,9zDvJAEypStiA4yv9azfhRZcJcSVN4FzHvi2eAESDY7Z,50571360,0.05057136,7138
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,9BAmGVLGxzqct6bkgjWmKSv3BFB6iKYXNBQp8GWG1LDY,1271898240,1.27189824,182616
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,2fmUv1BebH8RrFG7knYCeWgFBygUn3D8PsUsPskWUFEH,29064960,0.02906496,4048
steward,Stewardf95sJbmtcZsyagb2dg4Mo8eVQho8gpECvLx8,jitoVjT9jRUyeXHzvCwzPgHj7yWNRhLcUoXtes4wtjv,29064960,0.02906496,4048
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,6nuKBQV9PNSWjBdCzfnjonTYhWq2eApYkC6WSgmLwyBm,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,3kTNfUEo2fQjaNxa5gS8hzafCEqhV8UN4tBXEomQm2wB,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,21dx192FUa47bC8hiojzKoNCUoGq3z9AEhugWk72w1Mn,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,cmKamZKu3VSEGtKHw414AnNQ1kV22rJU3zxpAgVv2yX,459348640,0.45934864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,Excbm2LsNBdPm9SDzuSJpSEmyHCYcdi6qJckCsiVXgmk,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,EZWaznchZmT4L11wSwNUafnusd2QcrhdN74Pd7vyDwuQ,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,HBvFLedxD2Rh6YfKSjQzgQVXFC4F5bkagvRPPTUTMoSX,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,AM6q3XwNoksnZPcr2wRojK36cLxxQ7ULHyc6nW8E1hs8,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,AZZZfPi7cgXcQEGojsKUQvfA9VPGTveYUKBQ8dhenLgT,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,133yxV1PkpbV66TopXbp5QGgVVnnLTkVTXsYeDTRYvo4,459248640,0.45924864,65856
validator_history,HistoryJTGbKQD2mRgLZ3XhqHnN811Qpez8X9kCcGHoa,6ESv3RMHTtx91ansJPTnDKiT7MznB9fTXjo5j4tUie75,459248640,0.45924864,65856
